Date,open,high,low,final,vol
2021-05-02,69041000,69297000,66803000,68452000,7970.058251
2021-05-01,67956000,69386000,67557000,69049000,9860.607522
2021-04-30,63816000,68540000,63500000,67939000,18322.27249
2021-04-29,64060000,64900000,63000000,63814000,9270.474733
2021-04-28,64759000,65899000,62608000,64100000,8304.377218
2021-04-27,64198000,65000000,63375000,64767000,8003.355945
2021-04-26,59850000,64300000,59075000,64198000,10197.9606
2021-04-25,60853000,62050000,57327000,59859000,8791.239023
2021-04-24,60901000,62519000,58500000,60853000,9176.447943
2021-04-23,59950000,61900000,54964000,60900000,21936.25375
2021-04-22,68193000,69000000,59111000,59962000,20651.78771
2021-04-21,70400000,71490000,67601000,68198000,8571.433882
2021-04-20,71448000,72077000,66001000,70402000,15744.70022
2021-04-19,75692000,76829000,70780000,71456000,11873.84983
2021-04-18,77909000,78365000,70924000,75643000,16045.53344
2021-04-17,79322000,79950000,77500000,77905000,6395.586964
2021-04-16,79670000,81200000,77530000,79351000,10053.03258
2021-04-15,80401000,80798000,78576000,79670000,7368.138566
2021-04-14,80736000,81994000,79500000,80401000,10657.91834
2021-04-13,78178000,81987000,78000000,80736000,11167.52534
2021-04-12,78835000,79006000,77500000,78178000,6311.014948
2021-04-11,78531000,79389000,76500000,78743000,7344.852683
2021-04-10,76072000,79600000,75643000,78530000,9218.162592
2021-04-09,75315000,76435000,73369000,76066000,9146.070282
2021-04-08,72850000,75325000,70432000,75316000,9100.787536
2021-04-07,77919000,79422000,68500000,72850000,19134.03657
2021-04-06,78770000,79500000,76210000,77944000,10824.67206
2021-04-05,73908000,78780000,73890000,78770000,13425.68168
2021-04-04,72187000,74240000,71570000,73974000,6583.438203
2021-04-03,73934000,75703000,71783000,72187000,9274.318109
2021-04-02,72749000,74400000,71841000,73855000,8712.294082
2021-04-01,71480000,73325000,71032000,72749000,9170.381958
2021-03-31,70800000,72000000,69194000,71513000,9836.875688
2021-03-30,68693000,70979000,68500000,70800000,7699.707963
2021-03-29,67133000,69435000,66500000,68701000,8060.783828
2021-03-28,66648000,67500000,66238000,67133000,4650.42504
2021-03-27,65660000,67304000,65111000,66591000,5963.924635
2021-03-26,63334000,65723000,63265000,65675000,8081.669871
2021-03-25,64777000,65305000,62500000,63328000,10463.20781
2021-03-24,65458000,68370000,64500000,64777000,11366.40452
2021-03-23,64728000,66279000,63000000,65458000,9961.040596
2021-03-22,67064000,68380000,64345000,64725000,8366.410551
2021-03-21,67849000,68715000,65451000,67120000,8097.428878
2021-03-20,67911000,69980000,67700000,67849000,8023.608371
2021-03-19,67139000,69746000,65567000,67974000,8681.156917
2021-03-18,68494000,70204000,66846000,67139000,11432.45518
2021-03-17,66020000,68800000,62500000,68494000,14319.54868
2021-03-16,64490000,66020000,62000000,66020000,13522.70847
2021-03-15,68587000,70155000,63500000,64487000,18721.85916
2021-03-14,70615000,71450000,68570000,68587000,7208.31928
2021-03-13,66607000,71000000,65416000,70615000,11160.19224
2021-03-12,66208000,66999000,64700000,66607000,9023.997362
2021-03-11,64354000,66800000,62946000,66208000,10294.73535
2021-03-10,62950000,65500000,60870000,64350000,11752.57017
2021-03-09,59800000,62950000,59335000,62949000,9564.088015
2021-03-08,58155000,59837000,57187000,59821000,8033.076287
2021-03-07,56225000,58722000,56218000,58155000,7153.684319
2021-03-06,56636000,57000000,54754000,56225000,5608.84389
2021-03-05,56410000,57225000,54500000,56654000,8355.347319
2021-03-04,57933000,59159000,55600000,56426000,11821.02544
2021-03-03,56007000,59640000,55662000,57933000,10755.94573
2021-03-02,56438000,57405000,54657000,56000000,9266.678217
2021-03-01,51798000,56992000,51560000,56426000,11303.17672
2021-02-28,53494000,54098000,49755000,51798000,11516.37107
2021-02-27,53835000,55579000,52780000,53494000,7402.628448
2021-02-26,54128000,55226000,51809000,53804000,13302.34743
